hh_id,gender,mar_status,rel_rating,age,education,hh_income,empl_status,hh_internet
187965,2,2,1,62,10,14,2,1
188243,1,1,1,54,11,12,2,1
188243,2,1,1,50,11,12,1,1
188427,1,1,1,63,7,11,1,1
188427,2,1,1,61,7,11,1,1
188746,1,1,1,49,9,16,1,1
188746,2,1,1,49,14,16,2,1
188878,1,1,1,55,9,11,2,1
188878,2,1,1,55,11,11,2,1
189157,1,1,1,52,12,19,1,1
189157,2,1,2,50,13,19,1,1
189311,1,1,1,53,9,8,6,1
189311,2,1,2,52,11,8,7,1
189902,1,1,1,56,11,12,1,1
189902,2,1,2,49,9,12,7,1
189931,1,1,1,50,13,16,1,1
189931,2,1,1,49,13,16,1,1
190049,1,1,1,56,9,12,1,1
190049,2,1,1,51,9,12,1,1
190195,1,1,1,54,12,16,1,1
190195,2,1,1,58,9,16,5,1
190221,1,1,2,51,9,14,4,1
190221,2,1,2,53,10,14,1,1
190278,1,1,3,44,9,11,2,1
190278,2,1,2,38,12,11,1,1
191102,1,1,1,42,11,14,1,1
191102,2,1,1,40,11,14,1,1
191225,1,1,2,44,9,16,1,1
191225,2,1,3,45,9,16,1,1
191494,1,1,1,54,11,13,1,1
191494,2,1,2,56,9,13,1,1
192533,1,1,2,43,12,14,2,1
192533,2,1,2,41,13,14,1,1
192621,1,1,2,36,10,14,1,1
192621,2,1,2,40,10,14,7,1
193301,1,1,1,53,13,18,1,1
193301,2,1,1,55,12,18,1,1
193486,1,1,2,40,9,12,1,1
193486,2,1,2,36,9,12,1,1
193767,1,1,1,52,10,15,1,1
193767,2,1,1,43,12,15,1,1
193806,1,1,4,40,10,8,1,1
193806,2,1,5,43,10,8,1,1
194355,1,1,1,56,12,16,1,1
194355,2,1,1,60,11,16,1,1
194688,1,1,1,52,10,3,6,1
194688,2,1,1,48,10,3,7,1
195317,1,1,5,37,9,12,4,1
195317,2,1,5,30,10,12,1,1
195960,1,1,1,40,12,13,1,1
195960,2,1,1,32,12,13,1,1
196408,1,1,1,30,10,9,1,1
196408,2,1,2,26,10,9,2,1
196527,1,1,1,35,10,13,1,1
196527,2,1,1,33,11,13,1,1
196742,1,1,2,42,11,8,4,1
196742,2,1,1,39,10,8,6,1
197354,1,1,1,55,10,13,1,1
197354,2,1,1,55,9,13,1,1
197478,1,1,2,39,9,15,1,1
197478,2,1,1,37,10,15,1,1
197697,1,1,1,46,12,16,1,1
197697,2,1,1,46,13,16,1,1
198142,1,1,1,49,9,15,1,1
198142,2,1,1,48,9,15,5,1
198203,1,1,1,55,9,14,1,1
198203,2,1,1,47,9,14,2,1
198458,1,1,1,55,10,12,1,1
198458,2,1,1,49,12,12,4,1
198538,1,1,1,38,9,13,2,1
198538,2,1,2,34,9,13,7,1
199270,1,1,3,43,9,10,1,1
199270,2,1,3,39,4,10,4,1
199677,1,1,1,42,12,12,1,1
199677,2,1,1,32,12,12,1,1
200184,1,1,1,33,12,15,1,1
200184,2,1,2,31,12,15,7,1
200308,1,1,2,54,12,12,1,1
200308,2,1,1,52,10,12,1,1
201853,1,1,1,56,13,7,4,1
201853,2,1,1,54,12,7,4,1
201947,1,1,1,60,9,17,5,1
201947,2,1,3,55,12,17,1,1
202717,1,1,1,46,9,12,1,1
202717,2,1,2,46,10,12,1,1
203062,1,1,1,26,12,12,1,1
203062,2,1,1,25,10,12,1,1
203460,1,1,1,46,10,12,4,1
203460,2,1,2,49,10,12,7,1
203939,1,1,1,54,13,17,5,1
203939,2,1,1,54,11,17,1,1
204009,1,1,2,47,10,17,1,1
204009,2,1,1,53,12,17,1,1
204164,1,1,1,46,12,16,1,1
204164,2,1,2,47,13,16,1,1
204550,1,1,1,53,9,13,1,1
204550,2,1,2,53,9,13,7,1
205172,1,2,2,59,12,9,6,0
205172,2,2,1,54,9,9,3,0
205447,1,1,4,58,12,12,1,1
205447,2,1,2,57,12,12,1,1
205574,1,1,2,38,12,15,1,1
205574,2,1,1,31,11,15,7,1
205697,1,1,1,43,9,14,1,1
205697,2,1,1,37,11,14,7,1
206544,1,1,1,63,11,12,2,1
206544,2,1,1,61,11,12,5,1
206905,1,2,1,53,11,12,1,1
206905,2,2,2,49,12,12,4,1
209180,1,1,1,29,10,14,1,1
209180,2,1,2,23,10,14,1,1
209283,1,1,1,60,13,14,1,1
209283,2,1,1,62,10,14,7,1
209377,1,1,2,39,10,16,1,1
209377,2,1,1,41,10,16,1,1
209621,1,1,2,44,7,13,1,1
209621,2,1,2,39,8,13,1,1
209847,1,1,1,51,13,14,1,0
209847,2,1,1,51,10,14,7,0
210084,1,1,1,31,11,16,1,1
210084,2,1,1,30,12,16,2,1
210229,1,1,1,51,9,12,1,1
210229,2,1,1,54,9,12,7,1
211394,1,1,1,40,12,15,1,1
211394,2,1,2,42,12,15,7,1
213865,1,1,2,56,9,7,6,1
213865,2,1,3,57,9,7,2,1
214286,1,1,1,45,12,16,1,1
214286,2,1,1,45,12,16,1,1
214516,1,1,2,44,9,17,1,1
214516,2,1,2,45,9,17,7,1
214854,1,1,1,53,9,14,1,1
214854,2,1,1,52,11,14,1,1
215996,1,2,1,42,10,11,1,1
